DAY_DATE,DAY_INT,HOLIDAY_NAME,WEEKDAY,HOLIDAY_DATE_SRC,IS_HOL,IS_FRB_BANK_OBS_HOL,IS_NYSE_OBS_HOL,IS_US_FEDERAL_OBS_HOL
7/4/2019,20190704,Independence Day,Thursday,https://www.timeanddate.com/holidays/us/independence-day,1,1,1,1
9/2/2019,20190902,Labor Day,Monday,https://www.timeanddate.com/holidays/us/labor-day,1,1,1,1
10/14/2019,20191014,Columbus Day,Monday,https://www.timeanddate.com/holidays/us/columbus-day,1,1,0,1
11/11/2019,20191111,Veterans Day,Monday,https://www.timeanddate.com/holidays/us/veterans-day,1,1,0,1
11/28/2019,20191128,Thanksgiving Day,Thursday,https://www.timeanddate.com/holidays/us/thanksgiving-day,1,1,1,1
12/25/2019,20191225,Christmas Day,Wednesday,https://www.timeanddate.com/holidays/us/christmas-day,1,1,1,1
1/1/2020,20200101,New Year's Day,Wednesday,https://www.timeanddate.com/holidays/us/new-year-day,1,1,1,1
1/20/2020,20200120,Martin Luther King Day,Monday,https://www.timeanddate.com/holidays/us/martin-luther-king-day,1,1,1,1
2/17/2020,20200217,Presidents' Day,Monday,https://www.timeanddate.com/holidays/us/washington-birthday,1,1,1,1
4/10/2020,20200410,Good Friday,Friday,https://www.timeanddate.com/holidays/us/good-friday,1,0,1,0
5/25/2020,20200525,Memorial Day,Monday,https://www.timeanddate.com/holidays/us/memorial-day,1,1,1,1
7/3/2020,20200703,Independence Day (observed),Friday,https://www.timeanddate.com/holidays/us/independence-day,1,0,1,1
7/4/2020,20200704,Independence Day,Saturday,https://www.timeanddate.com/holidays/us/independence-day,1,0,0,0
9/7/2020,20200907,Labor Day,Monday,https://www.timeanddate.com/holidays/us/labor-day,1,1,1,1
10/12/2020,20201012,Columbus Day,Monday,https://www.timeanddate.com/holidays/us/columbus-day,1,1,0,1
11/11/2020,20201111,Veterans Day,Wednesday,https://www.timeanddate.com/holidays/us/veterans-day,1,1,0,1
11/26/2020,20201126,Thanksgiving Day,Thursday,https://www.timeanddate.com/holidays/us/thanksgiving-day,1,1,1,1
12/25/2020,20201225,Christmas Day,Friday,https://www.timeanddate.com/holidays/us/christmas-day,1,1,1,1
